title,url,region,price,price_display,bedrooms,bathrooms,furnishing,size_sqm,image_url
"Furnished 1bdrm Condo in Kibr Demena Site, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-1bdrm-condo-in-kibr-demena-site-yeka-for-rent-yrFBvcAsMlkjEIpVyyg2SlMZ.html?page=3&pos=1&cur_pos=1&ads_per_page=13&ads_count=245&lid=KBTYyfXehj9ZOeMy,"Addis Ababa, Yeka",12000,"ETB 12,000",1,1,Furnished,64,https://pictures-ethiopia.jijistatic.com/5552751_MzAwLTY2OC1hNTI3YTE0ZGVkLTE.webp
"Furnished 2bdrm Condo in Ayat 49 (Tanker), Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-49-tanker-yeka-for-rent-fy96EEKuUun00odfMqxsDvrk.html?page=3&pos=2&cur_pos=2&ads_per_page=13&ads_count=245&lid=KBTYyfXehj9ZOeMy,"Addis Ababa, Yeka",17000,"ETB 17,000",2,1,Furnished,86,https://pictures-ethiopia.jijistatic.com/6592648_MzAwLTY2OC02YThhZGU0MzZk.webp
"Furnished 2bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-49-40-60-yeka-for-rent-jNT13NsCWqaouHRR5IYp83HM.html?page=3&pos=3&cur_pos=3&ads_per_page=13&ads_count=245&lid=KBTYyfXehj9ZOeMy,"Addis Ababa, Yeka",24000,"ETB 24,000",2,1,Furnished,76,https://pictures-ethiopia.jijistatic.com/7905087_MzAwLTY2OC02YTcyYTVhNzIy.webp
"Furnished 3bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-3bdrm-condo-in-ayat-49-40-60-yeka-for-rent-7raCcUVtcQYL6T6nNqh5PoL.html?page=3&pos=4&cur_pos=4&ads_per_page=13&ads_count=245&lid=KBTYyfXehj9ZOeMy,"Addis Ababa, Yeka",30000,"ETB 30,000",3,2,Furnished,91,https://pictures-ethiopia.jijistatic.com/6945440_MzAwLTY2OC0yMjM3YWQ5ZGE0.webp
"Furnished 2bdrm Condo in Ayat Tsebel, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-tsebel-yeka-for-rent-8clhtn2W1O9HlCYSzXW0rnKk.html?page=3&pos=5&cur_pos=5&ads_per_page=13&ads_count=245&lid=KBTYyfXehj9ZOeMy,"Addis Ababa, Yeka",18000,"ETB 18,000",2,1,Furnished,66,https://pictures-ethiopia.jijistatic.com/6915156_MzAwLTY2OC0yMTdiZjg2Y2Jk.webp
"Furnished 1bdrm Condo in Tulu Dimtu, Akaky Kaliti for rent",https://jiji.com.et/akaky-kaliti/houses-apartments-for-rent/furnished-1bdrm-condo-in-tulu-dimtu-akaky-kaliti-for-rent-1p8GxfHgJPCOkLfQiYTePaT2.html?page=3&pos=6&cur_pos=6&ads_per_page=13&ads_count=245&lid=KBTYyfXehj9ZOeMy,"Addis Ababa, Akaky Kaliti",1750000,"ETB 1,750,000",1,1,Furnished,34,https://pictures-ethiopia.jijistatic.com/7790352_MzAwLTQwMC05MGNiODZlY2Fl.webp
"Furnished 2bdrm Condo in Kibr Demena Site, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-kibr-demena-site-yeka-for-rent-zJECogJu3xzuKExwkPo5Yb5i.html?page=3&pos=7&cur_pos=7&ads_per_page=13&ads_count=245&lid=KBTYyfXehj9ZOeMy,"Addis Ababa, Yeka",15000,"ETB 15,000",2,1,Furnished,81,https://pictures-ethiopia.jijistatic.com/5557535_MzAwLTY2OC1jNGE5MTIyZWI5LTE.webp
"Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-3uLa1KVZ5VDkAPeY4hLp2jnR.html?page=3&pos=8&cur_pos=8&ads_per_page=13&ads_count=245&lid=KBTYyfXehj9ZOeMy,"Addis Ababa, Yeka",13000,"ETB 13,000",2,2,Furnished,81,https://pictures-ethiopia.jijistatic.com/7358171_MzAwLTQwMC0zN2RlZjM4MWJm.webp
"Furnished 2bdrm Condo in Ayat Mekedonia(Kibr, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-kibr-yeka-for-rent-gehohSE4GePAzHAz8rNEB6Hc.html?page=3&pos=9&cur_pos=9&ads_per_page=13&ads_count=245&lid=KBTYyfXehj9ZOeMy,"Addis Ababa, Yeka",13000,"ETB 13,000",2,1,Furnished,81,https://pictures-ethiopia.jijistatic.com/7046743_MzAwLTY2OC1lMGM1OWFhMzBk.webp
"Furnished 1bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-1bdrm-condo-in-ayat-49-40-60-yeka-for-rent-mdYCNRfNt7HPBo0Ue4ajjsjd.html?page=3&pos=10&cur_pos=10&ads_per_page=13&ads_count=245&lid=KBTYyfXehj9ZOeMy,"Addis Ababa, Yeka",17000,"ETB 17,000",1,1,Furnished,59,https://pictures-ethiopia.jijistatic.com/6526786_MzAwLTY2OC02NDgzN2M5MTU5.webp
