title,url,region,price,price_display,bedrooms,bathrooms,furnishing,size_sqm,image_url
"1bdrm Condo in Ayat Tsebel, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/1bdrm-condo-in-ayat-tsebel-yeka-for-rent-mkdMNQmbEWv8MzmcsXJcwtn8.html?page=2&pos=10&cur_pos=10&ads_per_page=13&ads_count=256&lid=mlvKZ65E5T3pyRPS,"Addis Ababa, Yeka",14000,"ETB 14,000",1,1,Semi-Furnished,38,https://pictures-ethiopia.jijistatic.com/7434486_MzAwLTY2OC02M2JkNWJiZGNk.webp
"Furnished 2bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-49-40-60-yeka-for-rent-jIxj7dPqzkUvJ8W4EtYrTyIc.html?page=2&pos=11&cur_pos=11&ads_per_page=13&ads_count=256&lid=mlvKZ65E5T3pyRPS,"Addis Ababa, Yeka",16000,"ETB 16,000",2,1,Furnished,86,https://pictures-ethiopia.jijistatic.com/6939866_MzAwLTY2OC1jYjJlZDUyNGUw.webp
"Furnished 2bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-49-40-60-yeka-for-rent-p3fzb18FNZ3HHn0zLYb5Yx4F.html?page=2&pos=12&cur_pos=12&ads_per_page=13&ads_count=256&lid=mlvKZ65E5T3pyRPS,"Addis Ababa, Yeka",18000,"ETB 18,000",2,1,Furnished,76,https://pictures-ethiopia.jijistatic.com/6882086_MzAwLTY2OC1hMjk1ZjFkN2Ew.webp
"Furnished 3bdrm Condo in Ayat Mekedonia, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-3bdrm-condo-in-ayat-mekedonia-yeka-for-rent-yCHe1eQ7Z6hnCnP7yQut47iW.html?page=2&pos=13&cur_pos=13&ads_per_page=13&ads_count=256&lid=mlvKZ65E5T3pyRPS,"Addis Ababa, Yeka",16000,"ETB 16,000",3,1,Furnished,110,https://pictures-ethiopia.jijistatic.com/8259154_MzAwLTY2OC02MmQzYTFjMmFi.webp
"Furnished 3bdrm Condo in Ayat Mekedonia, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-3bdrm-condo-in-ayat-mekedonia-yeka-for-rent-yCHe1eQ7Z6hnCnP7yQut47iW.html?page=3&pos=1&cur_pos=1&ads_per_page=13&ads_count=256&lid=rZS_jOxTjni5ifNs,"Addis Ababa, Yeka",16000,"ETB 16,000",3,1,Furnished,110,https://pictures-ethiopia.jijistatic.com/8259154_MzAwLTY2OC02MmQzYTFjMmFi.webp
"Furnished 2bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-49-40-60-yeka-for-rent-p3fzb18FNZ3HHn0zLYb5Yx4F.html?page=3&pos=2&cur_pos=2&ads_per_page=13&ads_count=256&lid=rZS_jOxTjni5ifNs,"Addis Ababa, Yeka",18000,"ETB 18,000",2,1,Furnished,76,https://pictures-ethiopia.jijistatic.com/6882086_MzAwLTY2OC1hMjk1ZjFkN2Ew.webp
"Furnished 1bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-1bdrm-condo-in-ayat-49-40-60-yeka-for-rent-mdYCNRfNt7HPBo0Ue4ajjsjd.html?page=3&pos=3&cur_pos=3&ads_per_page=13&ads_count=256&lid=rZS_jOxTjni5ifNs,"Addis Ababa, Yeka",17000,"ETB 17,000",1,1,Furnished,59,https://pictures-ethiopia.jijistatic.com/6526786_MzAwLTY2OC02NDgzN2M5MTU5.webp
"Furnished 2bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-49-40-60-yeka-for-rent-fl9M4zF5DepCUCyz2VETil6T.html?page=3&pos=4&cur_pos=4&ads_per_page=13&ads_count=256&lid=rZS_jOxTjni5ifNs,"Addis Ababa, Yeka",19000,"ETB 19,000",2,1,Furnished,81,https://pictures-ethiopia.jijistatic.com/6114808_MzAwLTY2Ny0yYjM5Mjg4MzAx.webp
"Furnished 2bdrm Condo in Ayat Tsebel, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-tsebel-yeka-for-rent-8clhtn2W1O9HlCYSzXW0rnKk.html?page=3&pos=5&cur_pos=5&ads_per_page=13&ads_count=256&lid=rZS_jOxTjni5ifNs,"Addis Ababa, Yeka",18000,"ETB 18,000",2,1,Furnished,66,https://pictures-ethiopia.jijistatic.com/6915156_MzAwLTY2OC0yMTdiZjg2Y2Jk.webp
"Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-fAopSZ9HcegYU5knd5ZsdIzt.html?page=3&pos=6&cur_pos=6&ads_per_page=13&ads_count=256&lid=rZS_jOxTjni5ifNs,"Addis Ababa, Yeka",12000,"ETB 12,000",2,1,Furnished,74,https://pictures-ethiopia.jijistatic.com/6449922_MzAwLTY2OC05NmEyMDFmZmY2.webp
"Furnished 3bdrm Condo in Ayat Mekedonia, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-3bdrm-condo-in-ayat-mekedonia-yeka-for-rent-BKZjToFoHEaxAHW6pOOIueFM.html?page=3&pos=7&cur_pos=7&ads_per_page=13&ads_count=256&lid=rZS_jOxTjni5ifNs,"Addis Ababa, Yeka",15000,"ETB 15,000",3,1,Furnished,110,https://pictures-ethiopia.jijistatic.com/6602773_MzAwLTY2OC1iNjUzMzk4ODVh.webp
"Furnished 2bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-49-40-60-yeka-for-rent-jIxj7dPqzkUvJ8W4EtYrTyIc.html?page=3&pos=8&cur_pos=8&ads_per_page=13&ads_count=256&lid=rZS_jOxTjni5ifNs,"Addis Ababa, Yeka",16000,"ETB 16,000",2,1,Furnished,86,https://pictures-ethiopia.jijistatic.com/6939866_MzAwLTY2OC1jYjJlZDUyNGUw.webp
"Furnished 3bdrm Condo in ፊጋ ኖህ ሪል እስቴት ባለ 3, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-3bdrm-condo-in-figaa-nohe-rile-eseteete-baala-3-yeka-for-rent-5cxeg05NonI5ieGk2Q8gCJeK.html?page=3&pos=9&cur_pos=9&ads_per_page=13&ads_count=256&lid=rZS_jOxTjni5ifNs,"Addis Ababa, Yeka",100000,"ETB 100,000",3,3,Furnished,150,https://pictures-ethiopia.jijistatic.com/6619167_MzAwLTMyMS1hYmE4YTQwNTEx.webp
"Furnished 3bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-3bdrm-condo-in-ayat-49-40-60-yeka-for-rent-yB49Vi9fetdNLrfcSrtqgB97.html?page=3&pos=10&cur_pos=10&ads_per_page=13&ads_count=256&lid=rZS_jOxTjni5ifNs,"Addis Ababa, Yeka",25000,"ETB 25,000",3,2,Furnished,105,https://pictures-ethiopia.jijistatic.com/8026647_MzAwLTY2OC1jODFlNTM4NWQ2.webp
"Furnished 2bdrm Condo in Ayat Ayer Menged, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-ayer-menged-yeka-for-rent-1DjjOfcoqHAE3pDRXykqOulR.html?page=3&pos=11&cur_pos=11&ads_per_page=13&ads_count=256&lid=rZS_jOxTjni5ifNs,"Addis Ababa, Yeka",18000,"ETB 18,000",2,2,Furnished,72,https://pictures-ethiopia.jijistatic.com/7933320_MzAwLTQwNS1mNWIxZWE5NDAy.webp
"2bdrm Condo in Kibr Demena Site, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/2bdrm-condo-in-kibr-demena-site-yeka-for-rent-8YyrUYLBy21mv5i4bAk9iNIM.html?page=3&pos=12&cur_pos=12&ads_per_page=13&ads_count=256&lid=rZS_jOxTjni5ifNs,"Addis Ababa, Yeka",15000,"ETB 15,000",2,1,Semi-Furnished,80,https://pictures-ethiopia.jijistatic.com/5557513_MzAwLTY2OC01Yzg3OTQyOWEwLTE.webp
"1bdrm Condo in Ayat Tsebel, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/1bdrm-condo-in-ayat-tsebel-yeka-for-rent-8kWjFyvLtrk6gi5hndw42rYu.html?page=3&pos=13&cur_pos=13&ads_per_page=13&ads_count=256&lid=rZS_jOxTjni5ifNs,"Addis Ababa, Yeka",13000,"ETB 13,000",1,1,Semi-Furnished,44,https://pictures-ethiopia.jijistatic.com/7434437_MzAwLTY2OC1mMGJkMDk4N2I1.webp
